BOM_Number,Station_name,Coordinates,Total_rainfall_2015,Total_rainfall_2016,Total_rainfall_2017,Total_rainfall_2018,Total_rainfall_2019
66006,Sydney Botanic Gardens,"-33.86620, 151.21600",,1495.3,1186.6,1046.3,915.8
66011,Chatswood Bowling Club,"-33.801, 151.18",1360.0,1474.0,,946.0,981.0
66013,Concord Golf Club,"-33.8523, 151.0985",,,949.4,909.2,777.8
66034,Abbotsford (Blackwall Point Rd),"-33.8507, 151.13",,1275.3,,,736.6
66036,Marrickville Golf Club,"-33.9186, 151.14",1265.0,,881.0,871.0,750.0
66047,Pennant Hills (Yarrara Rd),"-33.7324 , 151.0767",1317.2,1260.6,1010.0,991.6,970.0
66048,Concord (Brays Rd),"-33.8483, 151.111",1244.0,1221.2,939.0,846.6,699.8
66062,Sydney (Observatory Hill),"-33.8607, 151.205",1337.2,1385.6,,,851.8
66080,Castel Cove (Rosebridge Ave),"-33.7809, 151.204",1579.3,1545.6,1009.7,1055.6,1133.4
66098,Rose Bay (Royal Sydney Golf Club),"-33.8809, 151.266",1560.0,,,936.6,973.2
66120,Gordon Golf Club,"-33.760149, 151.145600",,,,,
66124,Parramatta North (Masons Dr),"-33.7917, 151.018",1132.5,1115.6,898.2,722.3,632.0
66156,Macquarie Park (Willandra Village),"-33.7791, 151.1121",1253.4,1316.4,953.8,950.9,953.5
66160,Centennial Park,"-33.8959, 151.234",1269.4,1414.0,1019.8,970.2,907.7
66188,Belrose (Evelyn Place),"-33.7402, 151.217",1340.8,1384.6,944.6,916.0,965.2
66194,Canterbury Racecourse Aws,"-33.9057, 151.113",,1155.2,,,695.4
66206,St Ives (Richmond Ave),"-33.7096, 151.173",,,1043.8,993.4,1094.0
66212,Sydney Olympic Park Aws,"-33.83, 151.07",1303.8,1191.0,,855.0,
66213,North Ryde Gold Club,"-33.8005 , 151.1201",1200.0,1230.0,918.0,837.0,853.0
66214,Sydney (Observatory Hill Comparison),"-33.8593, 151.2048",,,,1000.4,
67017,Greystaned (Bathurst St),"-33.8136, 150.9392",1104.8,1025.6,789.2,,657.6
67026,Seven Hills (Collins St),"-33.7704, 150.932",,962.0,,742.8,
67100,Castle Hill (Kathleen Ave),"-33.7248, 150.9920",,,893.4,,846.8
67109,Baulkham Hills Eucalyptus Ct,"-33.7678, 150.981",1067.0,1103.5,795.0,688.5,730.0
67110,Seven Hills (Radio FM 103.2),"-33.7858, 150.9236",981.5,931.5,658.0,654.0,588.0
67111,North Parramatta (Burnside Homes),"-33.7931, 151.017",1125.0,1242.0,,,
67112,North Rocks (Muirfield Golf Club),"-33.7672, 151.0186",1054.0,1071.5,778.0,751.5,795.5
